
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:57001        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:57072        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:57386        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:58103        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:58302        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:58341        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:58408        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:58531        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:58542        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:58725        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:58756        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:58758        127.0.0.1:59706        FIN_WAIT_2      4188
  TCP    127.0.0.1:58778        127.0.0.1:59857        ESTABLISHED     3912
  TCP    127.0.0.1:58780        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:58788        127.0.0.1:59706        FIN_WAIT_2      4188
  TCP    127.0.0.1:58807        127.0.0.1:59857        ESTABLISHED     3912
  TCP    127.0.0.1:58812        127.0.0.1:59706        FIN_WAIT_2      4188
  TCP    127.0.0.1:58988        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:59297        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:59314        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:59366        127.0.0.1:59706        ESTABLISHED     11764
  TCP    127.0.0.1:59641        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:59703        0.0.0.0:0              LISTENING       3840
  TCP    127.0.0.1:59704        0.0.0.0:0              LISTENING       3840
  TCP    127.0.0.1:59706        127.0.0.1:49646        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:49654        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:49663        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:49704        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:50182        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:50235        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:50928        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:50939        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:51079        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:51287        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:51347        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:51363        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:51419        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:51472        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:51561        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:51911        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:51991        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:52604        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:52607        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:52734        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:52793        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:52803        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:52948        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:53139        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:53250        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:53448        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:53607        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:53649        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:53837        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:53870        CLOSE_WAIT      3840
